2024-08-06 15:41:07,831 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\691661\1 --method NaiveEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\691661\\1', '--method', 'NaiveEstimate']' returned non-zero exit status 1.
2024-08-06 15:41:08,451 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\691661\2 --method NaiveEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\691661\\2', '--method', 'NaiveEstimate']' returned non-zero exit status 1.
2024-08-06 16:54:30,934 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\691661\1 --method BaSicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\691661\\1', '--method', 'BaSicEstimate']' returned non-zero exit status 1.
2024-08-06 16:54:31,550 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\691661\2 --method BaSicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\691661\\2', '--method', 'BaSicEstimate']' returned non-zero exit status 1.
2024-08-06 21:22:26,915 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\666092\AF2-补 --method None failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\666092\\AF2-补', '--method', 'None']' returned non-zero exit status 1.
2024-08-06 21:22:57,744 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\666092\SHG2-补 --method None failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\666092\\SHG2-补', '--method', 'None']' returned non-zero exit status 1.
2024-08-06 21:24:12,450 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\691661\1 --method None failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\691661\\1', '--method', 'None']' returned non-zero exit status 1.
2024-08-06 21:24:13,049 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\691661\2 --method None failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\691661\\2', '--method', 'None']' returned non-zero exit status 1.
2024-08-06 21:30:15,571 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\744800\AF2-新 --method None failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\744800\\AF2-新', '--method', 'None']' returned non-zero exit status 1.
2024-08-06 21:31:01,289 - ERROR - Command python run.py --input_dir G:\Flat_correction_lung\744800\SHG2-新 --method None failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_lung\\744800\\SHG2-新', '--method', 'None']' returned non-zero exit status 1.
2024-08-07 15:22:11,683 - ERROR - Command python run.py --input_dir G:\Flat_correction_colorectal\1\AF --method BasicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_colorectal\\1\\AF', '--method', 'BasicEstimate']' returned non-zero exit status 2.
2024-08-07 15:22:12,302 - ERROR - Command python run.py --input_dir G:\Flat_correction_colorectal\1\AF N1 --method BasicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_colorectal\\1\\AF N1', '--method', 'BasicEstimate']' returned non-zero exit status 2.
2024-08-07 15:22:12,938 - ERROR - Command python run.py --input_dir G:\Flat_correction_colorectal\1\AF N2 --method BasicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_colorectal\\1\\AF N2', '--method', 'BasicEstimate']' returned non-zero exit status 2.
2024-08-07 15:22:13,566 - ERROR - Command python run.py --input_dir G:\Flat_correction_colorectal\1\AF T1 --method BasicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_colorectal\\1\\AF T1', '--method', 'BasicEstimate']' returned non-zero exit status 2.
2024-08-07 15:22:14,201 - ERROR - Command python run.py --input_dir G:\Flat_correction_colorectal\1\AF T2 --method BasicEstimate failed with error: Command '['python', 'run.py', '--input_dir', 'G:\\Flat_correction_colorectal\\1\\AF T2', '--method', 'BasicEstimate']' returned non-zero exit status 2.
